dataset,method,num_partitions,runs,highest_test_mean,highest_test_std,final_test_mean,final_test_std,highest_val_epoch,notes
citeseer,pcgt,7,10,71.71,0.38,70.62,0.86,50,auto-logged run_time=11.7ms
citeseer,pcgt,20,10,73.12,0.42,72.15,0.47,37,auto-logged run_time=27.9ms
citeseer,pcgt,20,10,69.15,1.20,67.72,1.31,62,auto-logged run_time=30.3ms
pubmed,pcgt,50,10,81.00,0.63,80.32,1.28,17,auto-logged run_time=61.9ms
pubmed,pcgt,10,10,80.91,0.73,80.09,1.31,16,auto-logged run_time=21.0ms
deezer-europe,pcgt,20,5,66.52,0.67,66.21,0.56,35,auto-logged run_time=52.3ms
pubmed,pcgt,10,10,79.17,0.70,78.10,1.28,66,auto-logged run_time=23.7ms
cora,pcgt,7,10,84.13,0.69,82.48,0.80,183,auto-logged run_time=19.4ms
film,pcgt,10,10,37.22,0.54,35.83,1.28,32,auto-logged run_time=21.2ms
chameleon,pcgt,10,10,49.03,2.79,44.39,5.18,246,auto-logged run_time=18.4ms
film,pcgt,5,10,38.00,0.90,36.28,1.37,355,auto-logged run_time=14.6ms
film,pcgt,5,10,31.21,3.44,30.84,3.50,407,auto-logged run_time=27.1ms
pubmed,sgformer,0,10,79.41,0.82,78.69,1.04,63,auto-logged run_time=9.4ms
citeseer,sgformer,0,10,69.16,0.33,67.75,1.05,42,auto-logged run_time=8.9ms
cora,sgformer,0,10,84.29,0.57,83.18,1.01,82,auto-logged run_time=8.8ms
squirrel,pcgt,10,10,45.49,2.71,43.40,3.30,97,auto-logged run_time=19.1ms
chameleon,sgformer,0,10,47.87,2.74,43.55,3.44,157,auto-logged run_time=9.4ms
deezer-europe,sgformer,0,5,67.27,0.73,67.05,0.67,25,auto-logged run_time=21.3ms
squirrel,sgformer,0,10,42.84,2.22,40.64,3.14,37,auto-logged run_time=13.4ms
film,difformer,0,10,25.49,1.08,25.26,1.14,49,auto-logged run_time=39.7ms
cora,pcgt,5,10,84.08,0.46,83.30,0.87,8,auto-logged run_time=11.8ms
cora,pcgt,7,10,84.30,0.81,83.61,1.29,8,auto-logged run_time=14.5ms
cora,pcgt,10,10,84.30,0.37,83.81,0.76,8,auto-logged run_time=17.9ms
cora,pcgt,10,10,83.88,0.30,82.66,0.91,168,auto-logged run_time=24.2ms
cora,pcgt,10,10,84.36,0.81,83.43,0.97,9,auto-logged run_time=73.5ms
cora,pcgt,10,10,84.27,0.57,83.43,1.09,8,auto-logged run_time=70.3ms
cora,pcgt,7,10,84.33,0.54,83.84,0.78,9,auto-logged run_time=63.2ms
cora,pcgt,5,10,84.01,0.46,83.49,0.82,7,auto-logged run_time=54.5ms
cora,pcgt,5,10,84.07,0.60,83.54,1.02,8,auto-logged run_time=54.8ms
cora,pcgt,7,10,84.45,0.65,83.83,1.09,11,auto-logged run_time=57.5ms
cora,pcgt,10,10,83.96,0.48,82.68,1.16,179,auto-logged run_time=65.7ms
cora,pcgt,10,10,83.94,0.74,82.43,1.13,96,auto-logged run_time=59.4ms
cora,pcgt,7,10,84.12,0.76,83.53,1.04,8,auto-logged run_time=26.1ms
deezer-europe,pcgt,20,5,66.57,0.40,66.42,0.60,41,auto-logged run_time=103.8ms
deezer-europe,pcgt,50,5,66.51,0.78,66.33,0.69,33,auto-logged run_time=153.3ms
cora,pcgt,7,10,83.99,0.85,83.07,1.08,10,auto-logged run_time=26.8ms
deezer-europe,pcgt,20,5,66.51,0.59,66.49,0.63,37,auto-logged run_time=103.3ms
cora,pcgt,7,10,83.98,0.71,83.22,1.19,9,auto-logged run_time=29.2ms
deezer-europe,pcgt,50,5,66.05,0.76,65.74,0.70,32,auto-logged run_time=163.4ms
cora,pcgt,7,10,84.09,0.29,83.34,0.57,205,auto-logged run_time=29.8ms
cora,pcgt,7,10,84.23,0.29,83.32,0.96,180,auto-logged run_time=37.8ms
deezer-europe,pcgt,20,5,66.32,1.06,66.16,1.09,203,auto-logged run_time=177.9ms
