dataset,method,num_partitions,runs,highest_test_mean,highest_test_std,final_test_mean,final_test_std,highest_val_epoch,notes
cora,sgformer,0,3,84.00,0.36,82.10,0.36,17,auto-logged run_time=5.5ms
cora,pcgt,10,3,84.53,0.51,83.80,1.08,8,auto-logged run_time=15.9ms
citeseer,sgformer,0,3,69.10,0.30,67.93,0.45,50,auto-logged run_time=5.4ms
citeseer,pcgt,20,3,73.50,0.20,72.00,0.61,14,auto-logged run_time=26.8ms
pubmed,sgformer,0,3,79.83,0.61,79.43,0.85,285,auto-logged run_time=5.4ms
pubmed,pcgt,50,3,81.33,0.68,80.77,1.19,16,auto-logged run_time=61.1ms
deezer-europe,sgformer,0,3,66.99,0.77,66.60,0.58,28,auto-logged run_time=14.3ms
deezer-europe,pcgt,20,3,66.83,0.47,66.63,0.23,19,auto-logged run_time=34.1ms
coauthor-cs,sgformer,0,3,94.52,0.59,94.12,0.53,27,auto-logged run_time=6.4ms
coauthor-cs,pcgt,15,3,94.55,0.37,94.22,0.51,355,auto-logged run_time=22.3ms
coauthor-physics,sgformer,0,3,96.45,0.09,96.30,0.09,219,auto-logged run_time=9.8ms
coauthor-physics,pcgt,20,3,96.68,0.13,96.40,0.11,320,auto-logged run_time=30.5ms
amazon-computers,sgformer,0,3,88.55,1.86,88.10,1.94,494,auto-logged run_time=6.5ms
amazon-computers,pcgt,10,3,89.13,0.50,88.55,0.50,82,auto-logged run_time=17.9ms
amazon-photo,sgformer,0,3,95.12,0.31,94.82,0.42,475,auto-logged run_time=5.6ms
amazon-photo,pcgt,10,3,95.28,0.06,94.91,0.24,134,auto-logged run_time=16.9ms
coauthor-cs,gcn,0,10,91.92,0.40,91.74,0.35,485,auto-logged run_time=3.7ms
coauthor-physics,gcn,0,10,95.88,0.16,95.70,0.15,471,auto-logged run_time=6.4ms
amazon-computers,gcn,0,10,82.83,1.75,82.71,1.86,476,auto-logged run_time=4.2ms
amazon-photo,gcn,0,10,90.87,1.18,90.43,1.53,448,auto-logged run_time=3.4ms
cora,gcn,0,3,82.00,0.36,81.43,0.67,429,auto-logged run_time=3.5ms
pubmed,gcn,0,3,79.80,0.26,78.80,0.92,95,auto-logged run_time=3.6ms
deezer-europe,gcn,0,3,62.99,0.38,62.93,0.44,31,auto-logged run_time=7.6ms
coauthor-cs,gcn,0,3,91.54,0.30,91.38,0.39,435,auto-logged run_time=4.0ms
coauthor-physics,gcn,0,3,95.72,0.17,95.57,0.17,332,auto-logged run_time=6.6ms
